"","V8","purecontrol_TEMP","purecontrol","relid","success","follow_lfc","fav_plyr","fav_plyr_TEXT","perform18","year_born_1","gender","educ","city_uk_1","pid","shaqiri_11","Milner_1","Klopp_1","tr_intro","tr_failure","tr_success","tr_character","tr_relid","world_cup","improve_lfc_1","improve_lfc_2","improve_lfc_3","improve_lfc_6","improve_lfc_7","improve_lfc_7_TEXT","salah_perform_12","win_lfc","karius","muslims_common","islam_compatible","imm_impact","Q50","brexit","Q48","end","NA.","ID"
"2340","2018-12-14 08:46:30",1,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1973,"Man","Some university","London","Labour",8,7,9,NA,NA,NA,NA,NA,"Too few","0","0","0","0","Other","Converting dominance into more goals",8,"Somewhat likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Somewhat positive","","Hard Brexit would be best","",1,NA,3957
"2341","2018-12-14 08:59:18",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1956,"Woman","Secondary school","Manchester","Labour",8,9,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",9,"Very likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,5163
"2342","2018-12-14 09:06:48",1,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1961,"Woman","Secondary school","Liverpool","Labour",8,9,9,NA,NA,NA,NA,NA,"Too few","0","0","0","Keeping a lead","0","",8,"Somewhat likely","Strongly agree","A little in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,3224
"2343","2018-12-14 09:03:32",4,NA,1,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",1961,"Man","University degree","Winchester","Liberal Democrat",7,8,8,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",9,"Somewhat likely","Strongly agree","A little in common","Islam is generally compatible with the values of British society","Very positive","","No Brexit would be best","",1,NA,8044
"2344","2018-12-07 09:08:24",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1968,"Man","Vocational training","Chester","None of the above",7,9,10,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",8,"Somewhat likely","Strongly agree","A lot in common","Islam is generally compatible with the values of British society","Very positive","","No Brexit would be best","",NA,NA,4685
"2345","2018-12-07 09:15:50",0,0,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Not satisfied",1965,"Man","Some university","Liverpool","Labour",6,7,9,1,1,NA,NA,1,"The right amount","0","Defense","0","0","0","",7,"Somewhat likely","Strongly disagree","Nothing in common","","","","","",NA,NA,8571
"2346","2018-12-07 07:32:44",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Somewhat satisfied",2000,"Man","Some university","Liverpool","Labour",9,10,8,NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,501
"2347","2018-12-07 09:25:05",0,0,1,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Very satisfied",-99,"Woman","Secondary school","Chester","Labour",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,2801
"2348","2018-12-07 09:25:58",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",-99,"Woman","Secondary school","Cardiff","UK Independence Party (UKIP)",-99,NA,NA,NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,5784
"2349","2018-12-14 09:31:48",1,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1971,"Woman","Secondary school","Preston","Other",8,9,9,NA,NA,NA,NA,NA,"Too few","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Neither positive nor negative","","Hard Brexit would be best","",1,NA,9742
"2350","2018-12-14 09:34:19",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","James milner","Very satisfied",1943,"Woman","Secondary school","London","None of the above",8,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",10,"Very likely","Neither agree nor disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,2681
"2351","2018-12-14 09:48:24",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1936,"Woman","Secondary school","Liverpool","None of the above",8,7,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",10,"Somewhat likely","Neither agree nor disagree","A little in common","Don’t know","Somewhat positive","","No Brexit would be best","",1,NA,749
"2352","2018-12-07 09:51:26",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1962,"Man","Vocational training","Nottingham","UK Independence Party (UKIP)",9,9,10,NA,NA,NA,NA,NA,"The right amount","0","Defense","Midfield","0","0","",9,"Somewhat likely","Strongly agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",NA,NA,5579
"2353","2018-12-07 09:59:23",4,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1963,"Woman","Secondary school","Aberdeen","Liberal Democrat",8,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",7,"Very likely","Somewhat agree","Nothing in common","Neither","Somewhat negative","","No Brexit would be best","",NA,NA,8887
"2354","2018-12-07 10:04:18",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1962,"Woman","Secondary school","Preston","None of the above",9,8,10,NA,NA,NA,NA,NA,"The right amount","-99","-99","-99","-99","-99","",8,"Somewhat likely","Somewhat disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Negative","","Hard Brexit would be best","",NA,NA,10421
"2355","2018-12-07 10:08:04",4,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1953,"Woman","Vocational training","Southampton","Conservative",8,9,9,NA,NA,NA,NA,NA,"Too few","0","0","Midfield","0","0","",7,"Somewhat likely","Somewhat agree","Nothing in common","","","","","",NA,NA,10594
"2356","2018-12-14 10:22:03",2,NA,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1965,"Man","Secondary school","Norwich","Conservative",7,7,9,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",8,"Somewhat likely","Somewhat agree","Nothing in common","Islam is generally compatible with the values of British society","Positive","","Hard Brexit would be best","",1,NA,11353
"2357","2018-12-07 10:32:18",4,NA,0,1,"Somewhat closely (watch big matches, read news occasionally)","Bobby Firmino","","Very satisfied",1967,"Woman","Secondary school","Exeter","Conservative",8,9,9,NA,NA,NA,NA,NA,"The right amount","Offense","0","0","Keeping a lead","0","",8,"Somewhat likely","Neither agree nor disagree","Nothing in common","Neither","Somewhat negative","","Hard Brexit would be best","",NA,NA,6049
"2358","2018-12-07 10:38:24",1,NA,0,1,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Somewhat satisfied",1965,"Woman","Secondary school","Belfast","None of the above",7,7,8,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",10,"Somewhat likely","Neither agree nor disagree","Nothing in common","Don’t know","Somewhat positive","","Soft Brexit would be best","",NA,NA,4839
"2359","2018-12-07 10:46:17",3,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1962,"Woman","Vocational training","Liverpool","Labour",-99,NA,NA,NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,9931
"2360","2018-12-14 10:37:36",3,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1967,"Other","Vocational training","Bradford","-99",7,8,9,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","Keeping a lead","0","",10,"Very likely","Somewhat disagree","A lot in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,5919
"2361","2018-12-14 10:50:42",1,NA,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1947,"Woman","Secondary school","Sheffield","Labour",8,9,9,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","",9,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,8310
"2362","2018-12-14 10:54:59",1,NA,1,0,"Very closely (watch every match, read news almost daily)","Daniel Sturridge","","Very satisfied",1964,"Woman","Secondary school","Chester","Labour",9,10,10,NA,NA,NA,NA,NA,"The right amount","0","Defense","0","0","0","",10,"Somewhat likely","Neither agree nor disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Negative","","Hard Brexit would be best","",1,NA,6831
"2363","2018-12-07 11:15:08",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1947,"Man","Vocational training","Bristol","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,6258
"2364","2018-12-14 11:16:13",1,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1941,"Woman","Secondary school","Liverpool","Labour",7,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","",10,"Very likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,8191
"2365","2018-12-14 11:54:25",0,1,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1973,"Woman","University degree","Cardiff","Labour",7,7,9,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Somewhat positive","","Hard Brexit would be best","",1,NA,5273
"2366","2018-12-14 11:54:20",0,1,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1970,"Man","Secondary school","Norwich","Conservative",8,6,9,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","Push other teams right through the game",7,"Very likely","Strongly agree","Nothing in common","Neither","Neither positive nor negative","","Hard Brexit would be best","",1,NA,6726
"2367","2018-12-14 11:59:07",0,1,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Not satisfied",1944,"Woman","Secondary school","Lincoln","UK Independence Party (UKIP)",7,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",9,"Very likely","Somewhat agree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",1,NA,6073
"2368","2018-12-07 12:02:08",3,NA,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1972,"Man","University degree","Liverpool","Labour",8,7,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","Bigger squad",8,"Somewhat likely","Somewhat disagree","A lot in common","Islam is generally compatible with the values of British society","Somewhat positive","","No Brexit would be best","",NA,NA,4854
"2369","2018-12-07 12:10:54",0,0,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1973,"Man","Secondary school","Belfast","None of the above",7,7,9,1,1,NA,1,NA,"","","","","","","",NA,"","","","","","","","",NA,NA,7510
"2370","2018-12-14 12:26:29",5,0,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1973,"Man","Vocational training","Liverpool","None of the above",9,10,9,1,1,NA,NA,1,"Too few","0","0","0","0","Other","",9,"Somewhat likely","Strongly disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,7271
"2371","2018-12-07 12:27:40",3,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1952,"Woman","Vocational training","Southampton","Conservative",7,9,9,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","Keeping a lead","0","",8,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Neither positive nor negative","","Hard Brexit would be best","",NA,NA,11765
"2372","2018-12-14 12:42:21",7,0,0,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1956,"Woman","Some university","Liverpool","Labour",7,9,10,1,1,NA,1,NA,"The right amount","0","0","Midfield","0","0","",10,"Somewhat likely","Neither agree nor disagree","A little in common","Neither","Somewhat positive","","No Brexit would be best","",1,NA,2282
"2373","2018-12-14 12:42:59",3,0,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1960,"Man","University degree","Canterbury","Labour",8,8,10,1,NA,1,1,NA,"Too few","0","0","0","Keeping a lead","0","",9,"Very likely","Somewhat agree","A lot in common","Islam is generally compatible with the values of British society","Somewhat positive","","No Brexit would be best","",1,NA,120
"2374","2018-12-07 12:47:50",0,0,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1967,"Man","Some university","St Albans","None of the above",8,9,9,1,NA,1,1,NA,"The right amount","0","0","Midfield","0","0","",7,"Somewhat unlikely","Somewhat agree","A little in common","Don’t know","Somewhat positive","","No Brexit would be best","",NA,NA,7730
"2375","2018-12-07 12:49:21",3,NA,0,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Very satisfied",1948,"Woman","Secondary school","Liverpool","Conservative",8,8,9,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Neither agree nor disagree","A little in common","Neither","Somewhat positive","","No Brexit would be best","",NA,NA,9087
"2376","2018-12-14 12:53:47",7,0,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1963,"Woman","University degree","Lisburn","None of the above",9,10,9,1,NA,1,NA,1,"The right amount","0","0","0","0","Other","Keeping top players ",9,"Very likely","Somewhat agree","Nothing in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,8513
"2377","2018-12-14 12:56:04",0,1,1,1,"Somewhat closely (watch big matches, read news occasionally)","Bobby Firmino","","Very satisfied",1958,"Man","Secondary school","Chester","Other",8,9,10,NA,NA,NA,NA,NA,"Too few","0","Defense","0","0","0","",9,"Somewhat likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Positive","","Hard Brexit would be best","",1,NA,5596
"2378","2018-12-14 13:00:27",7,0,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Trent Alexander Arnold","Very satisfied",1956,"Woman","University degree","Belfast","Conservative",7,8,10,1,NA,1,1,NA,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","Hard Brexit would be best","",1,NA,10599
"2379","2018-12-14 13:14:40",2,0,0,1,"Not very closely (rarely watch matches or read news)","Other (insert name)","Karius","Somewhat satisfied",1990,"Other","Primary school","Peterborough","Other",10,10,2,1,NA,1,1,NA,"Too many","0","0","0","0","Other","Tea lady",3,"Very unlikely","Strongly disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Very negative","","Hard Brexit would be best","",1,NA,10170
"2380","2018-12-14 13:15:37",3,0,1,1,"Somewhat closely (watch big matches, read news occasionally)","Sadio Mané","","Very satisfied",1972,"Man","Vocational training","Bristol","None of the above",7,7,8,1,NA,1,NA,1,"The right amount","0","0","Midfield","0","0","",8,"Very likely","Neither agree nor disagree","Nothing in common","Neither","Neither positive nor negative","","Hard Brexit would be best","",1,NA,3282
"2381","2018-12-14 13:22:29",0,1,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1960,"Man","Vocational training","Liverpool","Labour",8,9,10,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Negative","","Hard Brexit would be best","",1,NA,5826
"2382","2018-12-14 13:24:09",5,0,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1960,"Man","Vocational training","Nottingham","None of the above",7,9,10,1,1,NA,NA,1,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat disagree","A little in common","Neither","Neither positive nor negative","","Soft Brexit would be best","",1,NA,696
"2383","2018-12-07 13:33:38",4,NA,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1966,"Man","Vocational training","Stoke-on-Trent","None of the above",8,7,6,NA,NA,NA,NA,NA,"The right amount","","","","","","",NA,"","","","","","","","",NA,NA,1967
"2384","2018-12-07 13:52:03",1,NA,1,1,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Somewhat satisfied",1956,"Woman","Secondary school","Liverpool","Other",4,8,9,NA,NA,NA,NA,NA,"Too few","0","0","0","Keeping a lead","0","",7,"Very likely","Somewhat disagree","A little in common","","","","","",NA,NA,2119
"2385","2018-12-07 14:02:02",4,NA,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","VVD","Very satisfied",1958,"Woman","Secondary school","Liverpool","UK Independence Party (UKIP)",8,8,10,NA,NA,NA,NA,NA,"The right amount","0","0","Midfield","0","0","",7,"Somewhat likely","Strongly disagree","Nothing in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Hard Brexit would be best","",NA,NA,10358
"2386","2018-12-14 14:01:01",2,0,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1972,"Man","Vocational training","Chichester","Labour",8,9,10,1,1,NA,NA,1,"The right amount","-99","-99","-99","-99","-99","",9,"Somewhat likely","Neither agree nor disagree","A little in common","Don’t know","Neither positive nor negative","","Hard Brexit would be best","",1,NA,9582
"2387","2018-12-14 14:13:34",6,0,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1959,"Woman","University degree","Liverpool","None of the above",8,9,10,1,NA,1,1,NA,"The right amount","0","0","0","Keeping a lead","0","",9,"Very likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat positive","","No Brexit would be best","",1,NA,6768
"2388","2018-12-14 14:05:21",4,0,0,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",1974,"Man","Secondary school","Durham","None of the above",8,9,10,1,1,NA,1,NA,"The right amount","0","0","0","0","Other","More depth for injuries ",9,"Very likely","Somewhat disagree","A lot in common","Neither","Positive","","Hard Brexit would be best","",1,NA,941
"2389","2018-12-14 14:31:09",0,1,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1961,"Woman","Some university","Liverpool","Labour",8,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",10,"Very likely","Neither agree nor disagree","A little in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,6346
"2390","2018-12-14 14:27:55",4,0,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1962,"Woman","Primary school","Brighton and Hove","Labour",5,9,10,1,NA,1,1,NA,"Too few","0","0","0","Keeping a lead","0","",10,"Somewhat likely","Neither agree nor disagree","A little in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,3410
"2391","2018-12-07 14:34:57",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1964,"Woman","Some university","Belfast","Labour",8,9,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","They are all ok",8,"Somewhat likely","Somewhat disagree","A little in common","","","","","",NA,NA,1390
"2392","2018-12-07 14:43:14",4,NA,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1979,"Man","University degree","Winchester","Conservative",6,6,9,NA,NA,NA,NA,NA,"Too few","0","0","Midfield","0","0","",8,"Somewhat likely","Somewhat agree","A little in common","There is a fundamental clash between Islam and the values of British society","Neither positive nor negative","","Soft Brexit would be best","",NA,NA,9814
"2393","2018-12-14 14:45:49",3,0,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1954,"Woman","Secondary school","Liverpool","Conservative",9,10,10,1,NA,1,1,NA,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Somewhat agree","A little in common","Neither","Somewhat positive","","Soft Brexit would be best","",1,NA,4993
"2394","2018-12-14 14:48:24",5,0,0,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1975,"Woman","Master’s degree or higher","Coventry","Labour",6,8,8,1,1,NA,1,NA,"The right amount","0","0","Midfield","0","0","",7,"Somewhat likely","Somewhat agree","A little in common","Islam is generally compatible with the values of British society","Very positive","","No Brexit would be best","",1,NA,10290
"2395","2018-12-14 14:53:47",2,0,1,0,"Somewhat closely (watch big matches, read news occasionally)","Other (insert name)","Anyone who wears the shirt!","Somewhat satisfied",1969,"Man","University degree","Cambridge","Labour",8,8,9,1,1,NA,NA,1,"The right amount","0","0","0","Keeping a lead","0","",10,"Very likely","Somewhat disagree","A little in common","Islam is generally compatible with the values of British society","Positive","","No Brexit would be best","",1,NA,1270
"2396","2018-12-14 15:03:52",6,0,0,0,"Not at all (never watch matches or read news)","Other (insert name)","None they are all overpaid divas","Not satisfied",1965,"Woman","Master’s degree or higher","Liverpool","None of the above",1,1,1,1,1,NA,1,NA,"-99","0","0","0","0","Other","They need to be considerste to their neighbours in Anfield",1,"Very unlikely","Neither agree nor disagree","A lot in common","Don’t know","Very negative","","Hard Brexit would be best","",1,NA,5009
"2397","2018-12-11 23:51:29",2,NA,1,0,"Somewhat closely (watch big matches, read news occasionally)","Mo Salah","","Very satisfied",-99,"Man","Vocational training","London","Labour",-99,9,10,NA,NA,NA,NA,NA,"Too few","0","0","Midfield","0","0","",9,"Somewhat likely","Neither agree nor disagree","A lot in common","Islam is generally compatible with the values of British society","Very positive","","No Brexit would be best","",1,NA,9419
"2398","2018-12-07 15:13:39",0,0,0,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Somewhat satisfied",1963,"Woman","Some university","Liverpool","None of the above",7,8,9,1,1,NA,1,NA,"Too many","-99","-99","-99","-99","-99","",-99,"-99","","","","","","","",NA,NA,7047
"2399","2018-12-14 15:05:04",1,0,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1965,"Woman","Secondary school","Birmingham","Labour",8,9,10,1,1,NA,NA,1,"Too few","0","0","0","Keeping a lead","0","",8,"Somewhat likely","Somewhat agree","A lot in common","Neither","Neither positive nor negative","","-99","",1,NA,10579
"2400","2018-12-07 15:35:28",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1961,"Woman","Some university","Liverpool","Labour",7,7,9,NA,NA,NA,NA,NA,"Too few","0","0","0","Keeping a lead","0","",8,"Somewhat likely","Strongly disagree","Nothing in common","Don’t know","Somewhat positive","","No Brexit would be best","",NA,NA,7617
"2401","2018-12-14 15:35:47",3,0,1,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Trent Alexander Arnold","Very satisfied",1962,"Man","Vocational training","Liverpool","Labour",8,8,9,1,NA,1,NA,1,"The right amount","0","0","Midfield","0","0","",9,"Very likely","Somewhat agree","Nothing in common","Islam is generally compatible with the values of British society","Somewhat positive","","No Brexit would be best","",1,NA,9644
"2402","2018-12-08 15:43:24",2,NA,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1957,"Woman","Secondary school","Sheffield","None of the above",8,8,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","Think they are doing a fine job now defense strengthened",10,"Somewhat likely","Somewhat agree","A little in common","Don’t know","Somewhat positive","","Hard Brexit would be best","",1,NA,3414
"2403","2018-12-14 16:30:52",6,0,1,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Somewhat satisfied",1968,"Man","Vocational training","London","None of the above",7,9,9,1,NA,1,NA,1,"The right amount","0","0","Midfield","0","0","",8,"Very likely","Strongly agree","A little in common","Don’t know","Neither positive nor negative","","No Brexit would be best","",1,NA,130
"2404","2018-12-07 16:45:17",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",-99,"Man","Secondary school","Plymouth","Labour",10,10,10,NA,NA,NA,NA,NA,"Too few","0","Defense","0","0","0","",10,"Somewhat likely","Strongly agree","","","","","","",NA,NA,6039
"2405","2018-12-14 17:04:48",6,0,1,0,"Very closely (watch every match, read news almost daily)","Mo Salah","","Very satisfied",1971,"Man","Vocational training","Manchester","UK Independence Party (UKIP)",6,9,10,1,1,NA,NA,1,"The right amount","0","0","Midfield","0","0","",9,"Somewhat likely","Strongly agree","A lot in common","There is a fundamental clash between Islam and the values of British society","Somewhat negative","","Hard Brexit would be best","",1,NA,9066
"2406","2018-12-05 15:21:05",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1994,"Man","Secondary school","Liverpool","Labour",8,7,9,NA,NA,NA,NA,NA,"Too few","0","0","0","Keeping a lead","0","",6,"Somewhat likely","Somewhat disagree","A little in common","Neither","","","","",NA,NA,1759
"2407","2018-12-07 22:01:07",0,0,1,0,"Very closely (watch every match, read news almost daily)","Sadio Mané","","Very satisfied",1957,"Woman","Some university","Manchester","Labour",8,10,10,1,1,NA,NA,1,"Too few","Offense","0","Midfield","0","0","",8,"Somewhat likely","Strongly disagree","A little in common","Don’t know","Very positive","","No Brexit would be best","",NA,NA,7711
"2408","2018-12-07 22:33:21",2,NA,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1966,"Man","Vocational training","Wakefield","None of the above",6,8,9,NA,NA,NA,NA,NA,"The right amount","0","0","0","0","Other","",8,"Somewhat likely","Neither agree nor disagree","A little in common","Neither","Neither positive nor negative","","Soft Brexit would be best","",NA,NA,7218
"2409","2018-12-14 22:59:23",2,0,1,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1983,"Man","Vocational training","Bradford","None of the above",9,10,10,1,NA,1,NA,1,"Too few","0","0","Midfield","0","0","",10,"Very likely","Somewhat disagree","A lot in common","Neither","Neither positive nor negative","","Hard Brexit would be best","",1,NA,4557
"2410","2018-12-14 23:29:14",0,1,0,1,"Very closely (watch every match, read news almost daily)","Other (insert name)","Andy Roberson","Very satisfied",1960,"Man","Some university","Sheffield","Labour",9,10,10,NA,NA,NA,NA,NA,"The right amount","0","0","0","Keeping a lead","0","",10,"Somewhat likely","Neither agree nor disagree","-99","-99","Neither positive nor negative","","Soft Brexit would be best","",1,NA,2923
"2411","2018-12-14 23:35:00",7,0,1,0,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Very satisfied",1961,"Man","Secondary school","Lincoln","None of the above",8,8,9,1,1,NA,NA,1,"The right amount","0","0","Midfield","0","0","",8,"Somewhat likely","Strongly disagree","A little in common","Don’t know","Somewhat negative","","Hard Brexit would be best","",1,NA,10688
"2412","2018-12-14 23:47:09",7,0,1,1,"Not at all (never watch matches or read news)","Daniel Sturridge","","Not satisfied",1975,"Man","Primary school","Liverpool","None of the above",10,10,10,1,NA,1,NA,1,"Too many","0","0","0","Keeping a lead","0","",1,"Very unlikely","Strongly agree","A lot in common","Islam is generally compatible with the values of British society","Very positive","","Hard Brexit would be best","",1,NA,8635
"2413","2018-12-07 23:50:23",3,NA,0,1,"Very closely (watch every match, read news almost daily)","Bobby Firmino","","Somewhat satisfied",1959,"Man","Vocational training","Bath","Labour",6,7,9,NA,NA,NA,NA,NA,"The right amount","Offense","0","0","0","0","",9,"Somewhat likely","Somewhat agree","","","","","","",NA,NA,7980
